"База скачана с https://export-base.ru";"Стационарный телефон";"Мобильный телефон";"ИНН";"ОГРН";"Город";"Федеральный округ";"Рубрика";"Подрубрика";"Наличие филиалов";"Координаты(x, y)";"Часовой пояс";
"Альянс Сервис";"+7 (495) 225-52-63, +7 (495) 229-28-13";"";"7731295183";"1157746963582";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.879 37.723, 55.879 37.723";"Московское время";
"Аварийно-сервисная служба";"+7 (495) 928-26-14, +7 (495) 928-42-70, +7 (499) 739-22-84";"";"7729063611";"1027700373612";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.701 37.508";"Московское время";
"Технология";"";"+7 (909) 636-94-54";"7743947034";"5147746376685";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.667 37.736";"Московское время";
"ОДС № 5";"+7 (495) 475-99-45";"";"7709891455";"1117746961562";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.886 37.699";"Московское время";
"БТ-Спецстрой";"+7 (495) 679-78-67, +7 (495) 679-78-70";"";"7731570009";"5077746975015";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.706 37.669";"Московское время";
"Аварийная служба САО, офис";"+7 (495) 772-04-24";"";"7714524490";"1037739990210";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.785 37.572";"Московское время";
"ЛДГ Групп";"+7 (495) 686-66-92, +7 (495) 686-68-98";"";"7717736132";"1127747056909";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.827 37.660";"Московское время";
"Комсервис";"+7 (495) 995-82-57, +7 (495) 233-50-27";"+7 (985) 233-50-27";"7718797882";"1107746172159";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.752 37.586, 55.752 37.586";"Московское время";
"ГБУ Жилищник";"+7 (499) 205-41-49, +7 (499) 206-70-45, +7 (499) 205-59-01";"";"7715488815";"1157746499415";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.892 37.629";"Московское время";
"ГКУ Ис Таганского района";"+7 (495) 911-03-97, +7 (495) 912-12-64, +7 (495) 911-98-99";"";"7709753014";"1077758869418";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.728 37.671";"Московское время";
